"name","external_donor_name","donor_id","donor_name"
"","568840",1087709990,"Slc17a8-iCre;Ai14-568840"
"","568647",1087709981,"Ctgf-T2A-dgCre;Ai14-568647"
"","568676",1087709972,"Glt25d2-Cre_NF107;Ai14-568676"
"","564783",1087698356,"Grik4-Cre-564783"
"","561952",1087698229,"Chrna6-IRES2-FlpO-neo-561952"
"","560972",1087698021,"Npnt-P2A-FlpO-560972"
"","559586",1087697791,"Th-P2A-FlpO-559586"
"","567284",1087544065,"Sst-IRES-Cre;Ai32-567284"
"","564936",1087531235,"Ai214(TICL-stGtACR1-HA-ICL-mRuby3)-hyg-564936"
"","564935",1087531229,"Ai214(TICL-stGtACR1-HA-ICL-mRuby3)-hyg-564935"
"","562598",1087524220,"VGAT-ChR2-YFP-562598"
"","568963",1087519142,"Vip-IRES-Cre;Ai32-568963"
"","570947",1087350620,"Sst-IRES-Cre;Ai148-570947"
"","570752",1087350494,"Vip-IRES-Cre;Ai148-570752"
"","564072",1087321025,"C57BL6J-564072"
"","567286",1087316944,"Sst-IRES-Cre;Ai32-567286"
"","567300",1087314601,"Chodl-P2A-Cre;Sst-IRES-FlpO;Ai224-hyg-567300"
"C57BL/6J","569789",1087314488,"C57BL6J-569789"
"C57BL/6J","569788",1087314485,"C57BL6J-569788"
"","567299",1087314301,"Chodl-P2A-Cre;Sst-IRES-FlpO;Ai224-hyg-567299"
"","566251",1087313539,"Snap25-IRES2-Cre;Ai14-566251"
"","490827",1087313533,"CX3CR1-GFP-490827"
"","490828",1087313527,"CX3CR1-GFP-490828"
"","490826",1087313520,"CX3CR1-GFP-490826"
"","567039",1087313375,"Gad2-IRES-Cre;Ai14-567039"
"","572999",1087306257,"Snap25-IRES2-Cre;Ai14-572999"
"C57BL/6J","569787",1087306130,"C57BL6J-569787"
"","567543",1086814853,"Sst-IRES-Cre;Ai148-567543"
"","571368",1086783723,"CMV-Cre;Scn1a-A1783V-571368"
"","568102",1086783270,"Rorb-IRES2-Cre-neo;Ai14-568102"
"","568300",1086783261,"Oxtr-T2A-Cre;Ai14-568300"
"","567818",1086783250,"Rbp4-Cre_KL100;Ai14-567818"
"","567749",1086783240,"Vip-IRES-Cre;Ai14-567749"
"","561985",1086782419,"Sst-IRES-Cre-561985"
"","568194",1086782109,"Nr5a1-Cre;Ai140;Pvalb-T2A-FlpO;Ai65F-568194"
"","569538",1086780054,"Tlx3-Cre_PL56;Ai140;Vip-IRES-FlpO;Ai65F-569538"
"","569534",1086780042,"Tlx3-Cre_PL56;Ai140;Vip-IRES-FlpO;Ai65F-569534"
"","569431",1086780030,"Tlx3-Cre_PL56;Ai140;Sst-IRES-FlpO;Ai65F-569431"
"","569430",1086780021,"Tlx3-Cre_PL56;Ai140;Sst-IRES-FlpO;Ai65F-569430"
"","569427",1086780011,"Tlx3-Cre_PL56;Ai140;Sst-IRES-FlpO;Ai65F-569427"
"","550614",1086157985,"Slc17a7-IRES2-Cre;Ai223-hyg-550614"
"","550613",1086157668,"Slc17a7-IRES2-Cre;Ai223-hyg-550613"
"","564014",1085966004,"Sst-IRES-Cre;Ai32-564014"
"","566610",1085932024,"C57BL6J-566610"
"","564149",1085895628,"Sst-IRES-Cre;Ai32-564149"
"","559882",1085739025,"Slc17a7-IRES2-Cre-559882"
"","564071",1085733656,"C57BL6J-564071"
"","566076",1085702696,"Snap25-IRES2-Cre;Ai14-566076"
"","561845",1085698790,"C57BL6J-561845"
"","561843",1085698784,"C57BL6J-561843"
"","566218",1085683760,"Sst-IRES-Cre;Slc32a1-T2A-FlpO;Ai210-hyg-566218"
"","567227",1085680015,"Vip-IRES-Cre;Ai148-567227"
"","571407",1085678966,"C57BL6J-571407"
"","565012",1085678899,"Slc32a1-IRES-Cre;Ai14-565012"
"","565915",1085678194,"Snap25-IRES2-Cre;Ai14-565915"
"","572997",1085678185,"Snap25-IRES2-Cre;Ai14-572997"
"C57BL/6J","569786",1085678050,"C57BL6J-569786"
"","571365",1085665978,"CMV-Cre;Scn1a-A1783V-571365"
"","568158",1085148848,"Vip-IRES-Cre;Ai32-568158"
"","568144",1085141614,"Gad2-IRES-Cre;Slc32a1-T2A-FlpO;Ai195-hyg-568144"
"","568160",1085140871,"Vip-IRES-Cre;Ai32-568160"
"","565952",1085140342,"Rbp4-Cre_KL100;Camk2a-tTA;Ai93-565952"
"","559879",1085131866,"Slc17a7-IRES2-Cre-559879"
"","568163",1085123468,"Vip-IRES-Cre;Ai32-568163"
"","565950",1085087134,"Rbp4-Cre_KL100;Camk2a-tTA;Ai93-565950"
"","568309",1085081768,"Pvalb-IRES-Cre;Ai14-568309"
"","568308",1085081615,"Pvalb-IRES-Cre;Ai14-568308"
"","567775",1084972984,"Vip-IRES-Cre;Sst-IRES-FlpO;Ai193-hyg-567775"
"","568839",1084959635,"Sim1-Cre_KJ18;Sst-IRES-FlpO;Ai193-hyg-568839"
"","568838",1084959626,"Sim1-Cre_KJ18;Sst-IRES-FlpO;Ai193-hyg-568838"
"","568189",1084959614,"Nr5a1-Cre;Ai140;Pvalb-T2A-FlpO;Ai65F-568189"
"","568837",1084959456,"Sim1-Cre_KJ18;Sst-IRES-FlpO;Ai193-hyg-568837"
"","561087",1084936536,"Pvalb-IRES-Cre-561087"
"","562471",1084898215,"Ctxn3-IRES2-FlpO-562471"
"","571364",1084424707,"CMV-Cre;Scn1a-A1783V-571364"
"","571363",1084424700,"CMV-Cre;Scn1a-A1783V-571363"
"","571362",1084424689,"CMV-Cre;Scn1a-A1783V-571362"
"","571361",1084424680,"CMV-Cre;Scn1a-A1783V-571361"
"","567006",1084424553,"Chat-IRES-Cre-neo;Ai14-567006"
"","566843",1084424544,"Glt25d2-Cre_NF107;Ai14-566843"
"","566833",1084424533,"Esr2-IRES2-Cre;Ai14-566833"
"","566399",1084424523,"Slc17a6-IRES-Cre;Ai14-566399"
"","566022",1084227313,"Gad2-IRES-Cre;Slc32a1-T2A-FlpO;Ai195-hyg-566022"
"","567905",1084220856,"Gad2-IRES-Cre;Slc32a1-T2A-FlpO;Ai195-hyg-567905"
"","566301",1084211238,"Sst-IRES-Cre;Ai32-566301"
"","565835",1084169172,"Htr3a-Cre_NO152;Ai14-565835"
"","565384",1084169162,"Slc17a8-iCre;Ai14-565384"
"","564069",1084022996,"C57BL6J-564069"
"","565914",1083990548,"Snap25-IRES2-Cre;Ai14-565914"
"","565913",1083990539,"Snap25-IRES2-Cre;Ai14-565913"
"","565824",1083990529,"Snap25-IRES2-Cre;Ai14-565824"
"","565823",1083990520,"Snap25-IRES2-Cre;Ai14-565823"
"","571408",1083990364,"C57BL6J-571408"
"","563910",1083973555,"Ai193(TICL-EGFP-ICF-tdT)-hyg-563910"
"","566985",1083934330,"Sst-IRES-Cre;Ai32-566985"
"","568159",1083479551,"Vip-IRES-Cre;Ai32-568159"
"","566034",1083475561,"Vip-IRES-Cre;Ai148-566034"
"","568188",1083405025,"Nr5a1-Cre;Ai140;Pvalb-T2A-FlpO;Ai65F-568188"
"","568193",1083405012,"Nr5a1-Cre;Ai140;Pvalb-T2A-FlpO;Ai65F-568193"
"","567967",1083404999,"Vip-IRES-Cre;Sst-IRES-FlpO;Ai193-hyg-567967"
"","568192",1083402074,"Nr5a1-Cre;Ai140;Pvalb-T2A-FlpO;Ai65F-568192"
"","567963",1083401851,"Vip-IRES-Cre;Sst-IRES-FlpO;Ai193-hyg-567963"
"","567776",1083401620,"Vip-IRES-Cre;Sst-IRES-FlpO;Ai193-hyg-567776"
"","561842",1083393811,"C57BL6J-561842"
"","572416",1083393561,"Snap25-IRES2-Cre;Ai14-572416"
"","572417",1083393552,"Snap25-IRES2-Cre;Ai14-572417"
"","561086",1083392925,"Pvalb-IRES-Cre-561086"
"","565834",1082993217,"Htr3a-Cre_NO152;Ai14-565834"
"","565830",1082993208,"Htr3a-Cre_NO152;Ai14-565830"
"","565829",1082993199,"Htr3a-Cre_NO152;Ai14-565829"
"","565142",1082993190,"Slc17a7-IRES2-Cre;Ai14-565142"
"","565903",1082993180,"Rbp4-Cre_KL100;Ai14-565903"
"","565899",1082993171,"Rbp4-Cre_KL100;Ai14-565899"
"","565383",1082993161,"Slc17a8-iCre;Ai14-565383"
"","565382",1082993152,"Slc17a8-iCre;Ai14-565382"
"","559104",1082965219,"Gal-Cre_KI87-559104"
"","557892",1082964942,"Chrna6-IRES2-FlpO-WPRE-neo-557892"
"","561841",1082945947,"C57BL6J-561841"
"","562597",1082728556,"VGAT-ChR2-YFP-562597"
"","565583",1082712961,"Vip-IRES-Cre;Ai32-565583"
"","564802",1082684870,"Gad2-IRES-Cre;Slc32a1-T2A-FlpO;Ai195-hyg-564802"
"","558694",1082287114,"C57BL6J-558694"
"","564648",1081761978,"Tlx3-Cre_PL56-564648"
"","564650",1081761971,"Tlx3-Cre_PL56-564650"
"","565584",1081761355,"Vip-IRES-Cre;Ai32-565584"
"","556350",1081760558,"VGAT-ChR2-YFP-556350"
"","565581",1081757097,"Vip-IRES-Cre;Ai32-565581"
"","571645",1081685480,"Snap25-IRES2-Cre;Ai14-571645"
"","571642",1081685463,"Snap25-IRES2-Cre;Ai14-571642"
"","563909",1081673752,"Ai193(TICL-EGFP-ICF-tdT)-hyg-563909"
"","570067",1081673668,"Snap25-IRES2-Cre;Ai14-570067"
"","564484",1081673478,"Slc32a1-IRES-Cre;Ai14-564484"
"","564485",1081673468,"Slc32a1-IRES-Cre;Ai14-564485"
"","564486",1081673459,"Slc32a1-IRES-Cre;Ai14-564486"
"","559486",1081648659,"C57BL6J-559486"
"","559485",1081648593,"C57BL6J-559485"
"","559484",1081648486,"C57BL6J-559484"
"","570066",1081639746,"Snap25-IRES2-Cre;Ai14-570066"
"","565566",1081454880,"Tlx3-Cre_PL56;Ai140;Pvalb-T2A-FlpO;Ai65F-565566"
"","565565",1081454867,"Tlx3-Cre_PL56;Ai140;Pvalb-T2A-FlpO;Ai65F-565565"
"","565564",1081454855,"Tlx3-Cre_PL56;Ai140;Pvalb-T2A-FlpO;Ai65F-565564"
"","565563",1081454846,"Tlx3-Cre_PL56;Ai140;Pvalb-T2A-FlpO;Ai65F-565563"
"","565562",1081454834,"Tlx3-Cre_PL56;Ai140;Pvalb-T2A-FlpO;Ai65F-565562"
"","565561",1081454822,"Tlx3-Cre_PL56;Ai140;Pvalb-T2A-FlpO;Ai65F-565561"
"","561381",1081452535,"Rorb-IRES2-Cre-561381"
"","565016",1081337953,"Slc32a1-IRES-Cre;Ai14-565016"
"","564742",1081337944,"Vip-IRES-Cre;Ai14-564742"
"","564530",1081337935,"Sst-IRES-Cre;Ai14-564530"
"","564527",1081337925,"Sst-IRES-Cre;Ai14-564527"
"","565034",1081337916,"Slc17a7-IRES2-Cre;Ai14-565034"
