donor_id,donor_name,biological_sex,age,full_genotype
415796,Pvalb-IRES-Cre;Ai14-415796,M,P52,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt
415068,Vip-IRES-Cre;Ai14-415068,M,P56,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
418965,Vip-IRES-Cre;Ai140;Sst-IRES-FlpO;Ai65F-418965,M,P36,Vip-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65F/Ai65F
416176,Sst-IRES-Cre;Ai167-416176,F,P54,Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt
416864,Vip-IRES-Cre;Ai14-416864,M,P59,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
415350,Vip-IRES-Cre;Npy-IRES2-FlpO;Ai65-415350,M,P58,Vip-IRES-Cre/wt;Npy-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt
416871,Vip-IRES-Cre;Ai14-416871,F,P59,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
416120,Sst-IRES-Cre;Ai14-416120,M,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
416722,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-416722,M,P54,Crh-IRES-Cre_ZJH/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt
417227,Vip-IRES-Cre;Ai14-417227,M,P52,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
416134,Sst-IRES-Cre;Ai14-416134,F,P57,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
416125,Sst-IRES-Cre;Ai14-416125,F,P58,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
416870,Vip-IRES-Cre;Ai14-416870,F,9 wks,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
416135,Sst-IRES-Cre;Ai14-416135,F,P58,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt
417228,Vip-IRES-Cre;Ai14-417228,M,P53,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt
